Matching Entries:
darA: KA/__v
dasA: KA/__v
datA: KA/__v
data: uT/a__v
dAyana: rAw/a__n
dAyarI: ladak/I__n
Dazka: uT/a__v
DAzka: uT/a__v
DAzpa: uT/a__v
dazsa: uT/a__v
dAzta: uT/a__v
derI: ladak/I__n
deyarI: ladak/I__n
DibarI: ladak/I__n
digA: KA/__v
digarI: ladak/I__n
digrI: ladak/I__n
dijAina: rAw/a__n
dilivarI: ladak/I__n
dipo: redio/__n
dogarI: ladak/I__n
Do: so/__v
dolacI: ladak/I__n
Dolaka: rAw/a__n
dolI: ladak/I__n
dOMdI: ladak/I__n
dora: rAw/a__n
dorI: ladak/I__n
dubA: KA/__v
dUba: uT/a__v
dubakI: ladak/I__n
dulA: KA/__v
Dulaka: uT/a__v
DulavA: KA/__v
dyoDI: ladak/I__n
dyUtI: ladak/I__n
EbI: ajAwI/__adj
edI: ladak/I__n
ehawiyAwI: ajAwI/__adj
ekacAriNI: ajAwI/__adj
ekAgraxqRti: SAnwi/__n
ekAkI: ajAwI/__adj
ekAkinI: ajAwI/__adj
ekAkRarI: ajAwI/__adj
ekAMgI: ajAwI/__adj
ekAMkI: ajAwI/__adj
ekaxeSI: ajAwI/__adj
EMTa: uT/a__v
Enaka: rAw/a__n
eSiyAI: ajAwI/__adj
etamI: ajAwI/__adj
evajI: ajAwI/__adj
EwareyI: ajAwI/__adj
ewAxqSI: ajAwI/__adj
eyaragana: rAw/a__n
GabadA: KA/__v
GabarA: KA/__v
gadabadA: KA/__v
gadabadI: ladak/I__n
GadaGadAhata: rAw/a__n
gadagadA: KA/__v
GadaGadA: KA/__v
gaDA: KA/__v
gAda: uT/a__v
gaDavA: KA/__v
gaddI: ladak/I__n
gaDI: ladak/I__n
gAdI: ladak/I__n
GadI: ladak/I__n
gaganacuMbI: ajAwI/__adj
gAgara: rAw/a__n
gagarI: ladak/I__n
gA: KA/__v
gajala: rAw/a__n
gAjara: rAw/a__n
galawaPahamI: ladak/I__n
galawI: ladak/I__n
gAlIgalOja: rAw/a__n
galI: ladak/I__n
gAlI: ladak/I__n
gamaka: uT/a__v
gaMgAvAsI: ajAwI/__adj
gAmI: ajAwI/__adj
GamorI: ladak/I__n
GaMtI: ladak/I__n
GaMtikA: ASA/__n
gAMXI: ladak/I__n
GanaGanA: KA/__v
GAnI: ladak/I__n
gapa: rAw/a__n
gaPalawa: rAw/a__n
GarAhata: rAw/a__n
garaja: uT/a__v
garamA: KA/__v
garamI: ladak/I__n
GaravAlI: ladak/I__n
gAraxa: rAw/a__n
garaxana: rAw/a__n
garaxanI: ladak/I__n
garBavawI: ajAwI/__adj
garBiNI: ajAwI/__adj
garmI: ladak/I__n
garxana: rAw/a__n
garxiSa: rAw/a__n
GasIta: uT/a__v
gaSwI: ajAwI/__adj
GatA: KA/__v
gaTarI: ladak/I__n
GAtI: ladak/I__n
gaU: bah/U__n
gavAhI: ladak/I__n
gavarnameMta: rAw/a__n
gawa: rAw/a__n
GAwa: rAw/a__n
gaxarA: KA/__v
gaxxI: ladak/I__n
gAya: rAw/a__n
gazderI: ladak/I__n
gAzTa: uT/a__v
gazvA: KA/__v
gazvArina: rAw/a__n
gehUz: geh/Uz__n
gElarI: ladak/I__n
geMxa: rAw/a__n
gEramAmUlI: ajAwI/__adj
gEsa: rAw/a__n
gidagidAhata: rAw/a__n
gidagidA: KA/__v
GiGiyA: KA/__v
gilaharI: ladak/I__n
gilatI: ladak/I__n
gilOrI: ladak/I__n
ginA: KA/__v
ginavA: KA/__v
giraha: rAw/a__n
girA: KA/__v
Gira: uT/a__v
GiranI: ladak/I__n
giraPawArI: ladak/I__n
giraswI: ladak/I__n
gittaka: rAw/a__n
gittI: ladak/I__n
gIxadI: ladak/I__n
goda: uT/a__v
gohawyA: ASA/__n
gO: lO/__n
go: redio/__n
golAbArUxa: rAw/a__n
Gola: uT/a__v
golaka: rAw/a__n
golAkqwi: Apawwi/__n
golamirca: rAw/a__n
golI: ladak/I__n
GoMta: uT/a__v
goMxaxAnI: ladak/I__n
gopAMganA: ASA/__n
gopI: ladak/I__n
gOrAMgI: ladak/I__n
gOravaSAlI: ajAwI/__adj
gorI: ladak/I__n
goRTI: ladak/I__n
GosI: ladak/I__n
gota: rAw/a__n
gotI: ladak/I__n
Gozpa: uT/a__v
gqhaBexI: ajAwI/__adj
gqhaNI: ladak/I__n
gqhasvAminI: ladak/I__n
gqhawyAgI: ajAwI/__adj
gqhiNI: ladak/I__n
grahaSAMwi: SAnwi/__n
grAmaNI: ladak/I__n
grAmapaMcAyawa: rAw/a__n
graMWAvalI: ladak/I__n
graMWi: Apawwi/__n
graMWI: ajAwI/__adj
grasa: uT/a__v
gudaguda: uT/a__v
gudagudA: KA/__v
Gudaka: uT/a__v
GudakI: ladak/I__n
guddI: ladak/I__n
gujara: uT/a__v
gujAra: uT/a__v
gujarAwI: ajAwI/__adj
gujariSa: rAw/a__n
gujAriSa: rAw/a__n
gulAbI: ajAwI/__adj
GulA: KA/__v
gulela: rAw/a__n
gullI: ladak/I__n
GumA: KA/__v
GUma: uT/a__v
gumAnI: ajAwI/__adj
gumatI: ladak/I__n
guMbaja: rAw/a__n
guMbaxa: rAw/a__n
GuMdI: ladak/I__n
guNakArI: ajAwI/__adj
gunI: ladak/I__n
GuraGurAhata: rAw/a__n
GuraGurA: KA/__v
GUra: uT/a__v
gurrA: KA/__v
guruAnI: ladak/I__n
GusavA: KA/__v
Guseda: uT/a__v
Guta: uT/a__v
guTalI: ladak/I__n
guWa: uT/a__v
guwWI: ladak/I__n
guxadI: ladak/I__n
GUzGara: rAw/a__n
gUzja: uT/a__v
GUzta: uT/a__v
GUztI: ladak/I__n
guzWa: uT/a__v
gUzWa: uT/a__v
guzXa: uT/a__v
gUzXa: uT/a__v
gvAlina: rAw/a__n
hadabadA: KA/__v
hadakA: KA/__v
hadapa: uT/a__v
haddI: ladak/I__n
hAI: ajAwI/__adj
hajArI: ajAwI/__adj
hAjI: ladak/I__n
hAjirIbahI: ladak/I__n
hakabakA: KA/__v
hakalA: KA/__v
hakIkawa: rAw/a__n
halagrAhI: ajAwI/__adj
halajIvI: ajAwI/__adj
halarA: KA/__v
hamarAhI: ajAwI/__adj
haMgAmI: ajAwI/__adj
hAni: Apawwi/__n
harA: kAl/A__adj
harakawa: rAw/a__n
harAmajAxI: ladak/I__n
harAmaKorI: ladak/I__n
haravAhI: ladak/I__n
hariBakwi: SAnwi/__n
hArI: ajAwI/__adj
hariNI: ladak/I__n
harIwakI: ladak/I__n
harRA: KA/__v
hArxI: ajAwI/__adj
hasarawa: rAw/a__n
haswakalA: ASA/__n
haswalipi: Apawwi/__n
haswAMjali: SAnwi/__n
haswareKA: ASA/__n
haswI: ladak/I__n
haswinI: ladak/I__n
hatA: KA/__v
hatavA: KA/__v
havAIdAka: rAw/a__n
havAIpattI: ladak/I__n
havAlAwa: rAw/a__n
havAlAwI: ajAwI/__adj
havelI: ladak/I__n
havirBU: bah/U__n
haviRmawI: ladak/I__n
haWakadI: ladak/I__n
haWanI: ladak/I__n
hawaSrI: ajAwI/__adj
haWelI: ladak/I__n
haWinI: ladak/I__n
haWiyA: KA/__v
haWOdI: ladak/I__n
hawyArI: ladak/I__n
hawyArina: rAw/a__n
haxa: rAw/a__n
hAzdI: ladak/I__n
hAzka: uT/a__v
hazkAra: rAw/a__n
hazkavA: KA/__v
hAzPa: uT/a__v
hazsA: KA/__v
hazsalI: ladak/I__n
hazsanI: ladak/I__n
hazsITaTolI: ladak/I__n
hE: h/E__v
hemakAMwi: SAnwi/__n
hemaMwI: ladak/I__n
hEmavawI: ladak/I__n
hEvAnI: ajAwI/__adj
hicaka: uT/a__v
hicakicA: KA/__v
hicakI: ladak/I__n
hikamawI: ajAwI/__adj
hikkI: ajAwI/__adj
hilA: KA/__v
hilora: rAw/a__n
himareKA: ASA/__n
himavqRti: SAnwi/__n
himaxyuwi: SAnwi/__n
himAyawa: rAw/a__n
hinahinAhata: rAw/a__n
hinahinA: KA/__v
hinAI: ajAwI/__adj
hiPAjawa: rAw/a__n
hIro: redio/__n
hisAbabahI: ladak/I__n
hisAbI: ajAwI/__adj
hiwabuxXi: SAnwi/__n
hiwAkAMkRI: ajAwI/__adj
hiwArWI: ajAwI/__adj
hixAyawa: rAw/a__n
hIzsa: uT/a__v
hlAxI: ajAwI/__adj
hlAxinI: ajAwI/__adj
homaXenu: qwu/__n
horI: ladak/I__n
hqxayagrAhI: ajAwI/__adj
hqxayagraMWi: Apawwi/__n
hqxayasparSI: ajAwI/__adj
hqxayaxAhI: ajAwI/__adj
hrI: ladak/I__n
hujjawa: rAw/a__n
hujjawI: ajAwI/__adj
hukmI: ajAwI/__adj
hulasA: KA/__v
hulAsI: ajAwI/__adj
hulasI: ladak/I__n
huMdI: ladak/I__n
huMkAra: uT/a__v
husnaparaswI: ladak/I__n
huwAwmA: ASA/__n
huzkArI: ladak/I__n
ibAxawa: rAw/a__n
icCABexI: ajAwI/__adj
idalI: ladak/I__n
IjAxa: rAw/a__n
ikAI: ladak/I__n
IKa: rAw/a__n
ikAsI: ajAwI/__adj
ikyAsI: ajAwI/__adj
ilAhI: ladak/I__n
ilAyacI: ladak/I__n
imalI: ladak/I__n
imAmawa: rAw/a__n
imArawa: rAw/a__n
imArawI: ajAwI/__adj
imarawI: ladak/I__n
imaxAxI: ajAwI/__adj
iMcI: ajAwI/__adj
iMsAnI: ajAwI/__adj
IMta: rAw/a__n
iMxriyavqwwi: Apawwi/__n
insAnI: ajAwI/__adj
irAkI: ajAwI/__adj
IrAnI: ladak/I__n
iRti: Apawwi/__n
iSArebAjI: ladak/I__n
islAmI: ajAwI/__adj
iswirI: ladak/I__n
iTalA: KA/__v
italI: ladak/I__n
iwAlabI: ajAwI/__adj
iwarA: KA/__v
Ixa: rAw/a__n
jabAna: rAw/a__n
jabAnI: ajAwI/__adj
jabarxaswI: ladak/I__n
Jada: uT/a__v
JAda: uT/a__v
Jadapa: uT/a__v
jadaprakqwi: SAnwi/__n
JadavA: KA/__v
jadIbUtI: ladak/I__n
JAdI: ladak/I__n
JAdU: bah/U__n
Jagada: uT/a__v
jagA: KA/__v
jagamagA: KA/__v
jaganmayI: ladak/I__n
jAgIra: rAw/a__n
jAgIraxArI: ladak/I__n
jAgrawi: SAnwi/__n
jahAjI: ajAwI/__adj
jA: KA/__v
JajJara: rAw/a__n
jakada: uT/a__v
Jaka: rAw/a__n
JaKa: rAw/a__n
JakaJOra: uT/a__v
jaKamI: ajAwI/__adj
jAketa: rAw/a__n
jaKmI: ajAwI/__adj
Jakora: uT/a__v
jalA: KA/__v
JalaJalAhata: rAw/a__n
JalaJalA: KA/__v
JalakA: KA/__v
JalakI: ladak/I__n
jalakrIdA: ASA/__n
jalakuMBI: ladak/I__n
JalamalA: KA/__v
jalAMjali: Apawwi/__n
jalaparI: ladak/I__n
JAlara: rAw/a__n
JalavA: KA/__v
jalebI: ladak/I__n
jAlI: ajAwI/__adj
JallA: KA/__v
jamA: KA/__v
JamakA: KA/__v
jamAnawa: rAw/a__n
jamAnawI: ajAwI/__adj
jamAvata: rAw/a__n
JaMdI: ladak/I__n
jaMga: rAw/a__n
jaMgalI: ajAwI/__adj
jaMgI: ajAwI/__adj
jamhA: KA/__v
jamInaxArI: ladak/I__n
JaMJatI: ajAwI/__adj
jaMjIra: rAw/a__n
JaMkAra: rAw/a__n
JaMkqwi: Apawwi/__n
jAmuna: rAw/a__n
jAmunI: ajAwI/__adj
jaMwarI: ladak/I__n
jaMwrI: ladak/I__n
JanaJanAhata: rAw/a__n
JanaJanA: KA/__v
janajAwi: Apawwi/__n
Janaka: rAw/a__n
JanakAra: rAw/a__n
janamapawrI: ladak/I__n
jananI: ladak/I__n
jAnapaxI: ladak/I__n
jAnI: ajAwI/__adj
janmakuMdalI: ladak/I__n
janmapawrikA: ASA/__n
janmarASi: Apawwi/__n
janmARtamI: ladak/I__n
janopayogI: ajAwI/__adj
JapakA: KA/__v
JapakI: ladak/I__n
jApAnI: ajAwI/__adj
jAParAnI: ajAwI/__adj
Japata: uT/a__v
jarI: ajAwI/__adj
jarUrI: ajAwI/__adj
Jataka: uT/a__v
JatakAra: uT/a__v
jatASaMkarI: ladak/I__n
jatAXArI: ajAwI/__adj
javAbI: ajAwI/__adj
jawA: KA/__v
jAwi: Apawwi/__n
jAyasI: ladak/I__n
jayaXvani: Apawwi/__n
jazBAI: ladak/I__n
jAzca: uT/a__v
jAzGa: rAw/a__n
JAzI: ladak/I__n
JAzJa: rAw/a__n
JazJarI: ladak/I__n
JazJoda: uT/a__v
JAzka: uT/a__v
JAzkI: ladak/I__n
JAzpa: uT/a__v
jebaGadI: ladak/I__n
jeba: rAw/a__n
jebI: ajAwI/__adj
jEketa: rAw/a__n
jela: rAw/a__n
Jela: uT/a__v
JeMpa: uT/a__v
jEnI: ladak/I__n
jepI: ladak/I__n
jeTAnI: ladak/I__n
jevanAra: rAw/a__n
jIBa: rAw/a__n
jIBI: ladak/I__n
Jidaka: uT/a__v
JidakI: ladak/I__n
jigarI: ajAwI/__adj
jI: p/I__v
JiJaka: uT/a__v
jIjI: ladak/I__n
JIla: rAw/a__n
jilAkacaharI: ladak/I__n
JilamilA: KA/__v
jilexArI: ladak/I__n
JillI: ladak/I__n
jilxa: rAw/a__n
jimmevArI: ladak/I__n
jimmexArI: ladak/I__n
jiMxagI: ladak/I__n
jIpa: rAw/a__n
JirI: ladak/I__n
jIvanabUtI: ladak/I__n
jIvanacaryA: ASA/__n
jIvanI: ladak/I__n
jiwA: KA/__v
jixa: rAw/a__n
jixxI: ajAwI/__adj
jodavA: KA/__v
jodI: ladak/I__n
jogina: rAw/a__n
jo: j/o__p
joKimI: ajAwI/__adj
JolI: ladak/I__n
JoMka: uT/a__v
JopadZI: ladak/I__n
joraAjamAI: ladak/I__n
jorU: bah/U__n
joSI: ladak/I__n
judA: KA/__v
JuggI: ladak/I__n
juJA: KA/__v
jUJa: uT/a__v
JukA: KA/__v
JulA: KA/__v
JUla: uT/a__v
JUlanI: ajAwI/__adj
JulasA: KA/__v
Julasa: uT/a__v
JulavA: KA/__v
julPa: rAw/a__n
JumA: KA/__v
JUma: uT/a__v
JuMJalAhata: rAw/a__n
JunaJunA: KA/__v
jurrAba: rAw/a__n
JurrI: ladak/I__n
jutA: KA/__v
JuTalA: KA/__v
juwavA: KA/__v
jUwI: ladak/I__n
juwiyA: KA/__v
JuzJalAhata: rAw/a__n
JuzJalA: KA/__v
jyAxawI: ladak/I__n
Kabara: rAw/a__n
kabIrapaMWI: ajAwI/__adj
kabra: rAw/a__n
kabUla: uT/a__v
kAbulI: ajAwI/__adj
kabUwarI: ladak/I__n
kacaharI: ladak/I__n
kacakA: KA/__v
kacaka: uT/a__v
kacarI: ladak/I__n
kaccI: ladak/I__n
kacOdI: ladak/I__n
kacorI: ladak/I__n
kacota: uT/a__v
KadabadAhata: rAw/a__n
KadabadA: KA/__v
kadAhI: ladak/I__n
kaDAI: ladak/I__n
kadakadAhata: rAw/a__n
kadakadA: KA/__v
KadaKadA: KA/__v
KadakA: KA/__v
Kadaka: uT/a__v
KadAUz: geh/Uz__n
kadI: ladak/I__n
KAdI: ladak/I__n
kadZavI: ladak/I__n
KadZI: ladak/I__n
kAgajI: ajAwI/__adj
kahalA: KA/__v
kahalavA: KA/__v
kahAnI: ladak/I__n
kahavA: KA/__v
kahAvawa: rAw/a__n
KAhiSa: rAw/a__n
KAI: ladak/I__n
KA: KA/__v
kajalI: ladak/I__n
kakadI: ladak/I__n
KAka: rAw/a__n
KaKAra: uT/a__v
KAkI: ajAwI/__adj
kAkI: ladak/I__n
kakRonnawi: SAnwi/__n
kalAbAjI: ladak/I__n
KalabalAhata: rAw/a__n
kalaCI: ladak/I__n
kalahakArI: ajAwI/__adj
kalahI: ajAwI/__adj
kalAI: ladak/I__n
kAlakoTarI: ladak/I__n
kalAkqwi: Apawwi/__n
kalama: rAw/a__n
kalaMkI: ajAwI/__adj
kalapA: KA/__v
kAlara: rAw/a__n
kalasI: ladak/I__n
kalaSI: ladak/I__n
kalAvawI: ladak/I__n
kalI: ladak/I__n
kaliyugI: ajAwI/__adj
kAlonI: ladak/I__n
kalpanAsqRti: SAnwi/__n
kaluRI: ajAwI/__adj
kalyANakArI: ajAwI/__adj
kAmAgni: SAnwi/__n
kamA: KA/__v
kAmakAjI: ajAwI/__adj
kamAliyawa: rAw/a__n
kamAna: rAw/a__n
kamara: rAw/a__n
kamarapattI: ladak/I__n
kaMcukI: ladak/I__n
kametI: ladak/I__n
KaMgAla: uT/a__v
kaMGI: ladak/I__n
kAMgresI: ajAwI/__adj
kAmI: ajAwI/__adj
kamI: ladak/I__n
kamIja: rAw/a__n
kaMkAlamAlI: ajAwI/__adj
kAMkRI: ajAwI/__adj
kaMpanI: ladak/I__n
kaMtakI: ajAwI/__adj
KaMwI: ladak/I__n
Kanaka: uT/a__v
KanakA: KA/__v
kanakanA: KA/__v
KanaKanA: KA/__v
kanaKI: ladak/I__n
kanapatI: ladak/I__n
KAnaxAnI: ajAwI/__adj
kanI: ladak/I__n
kAnI: ladak/I__n
kAnPareMsa: rAw/a__n
kAnUnI: ajAwI/__adj
KapA: KA/__v
kApI: ladak/I__n
kapUrI: ladak/I__n
karaCI: ladak/I__n
kArAgAra: rAw/a__n
karAha: uT/a__v
karA: KA/__v
kAra: rAw/a__n
karAmAwa: rAw/a__n
karAmAwI: ajAwI/__adj
karavA: KA/__v
karavata: rAw/a__n
karawUwa: rAw/a__n
karaXanI: ladak/I__n
karelI: ladak/I__n
karElI: ladak/I__n
karIbI: ladak/I__n
karI: ladak/I__n
karmaSAlA: ASA/__n
karmI: ajAwI/__adj
KaroMca: uT/a__v
kAryakArI: ajAwI/__adj
kAryakAriNI: ajAwI/__adj
kAryapraNAlI: ladak/I__n
kAryasamiwi: Apawwi/__n
kasA: KA/__v
kasama: rAw/a__n
kasamasA: KA/__v
kasara: rAw/a__n
kasarawa: rAw/a__n
kasavA: KA/__v
KAsiyawa: rAw/a__n
kaSmIrI: ajAwI/__adj
kASmIrI: ajAwI/__adj
Kasota: uT/a__v
kaSwI: ladak/I__n
katA: KA/__v
KatA: KA/__v
KAta: rAw/a__n
Kataka: uT/a__v
katakatA: KA/__v
KataKatA: KA/__v
kaTapuwalI: ladak/I__n
katAra: rAw/a__n
katavA: KA/__v
kATI: ladak/I__n
kaTinAI: ladak/I__n
katorI: ladak/I__n
KattI: ladak/I__n
KavAhiSa: rAw/a__n
kavayiwrI: ladak/I__n
kavigoRTI: ladak/I__n
kavvAlI: ladak/I__n
kAwa: uT/a__v
kawAra: rAw/a__n
kawarana: rAw/a__n
kaWarI: ladak/I__n
kawWaI: ajAwI/__adj
KAxa: rAw/a__n
Kaxeda: uT/a__v
KAxIXArI: ajAwI/__adj
KayAlI: ajAwI/__adj
KAzcI: ladak/I__n
KAz: ku/Az__n
KazjadI: ladak/I__n
kAzKa: uT/a__v
kazpA: KA/__v
kAzpa: uT/a__v
KAzsa: uT/a__v
kAzvara: rAw/a__n
kEkeyI: ladak/I__n
kEMcI: ladak/I__n
keMculI: ladak/I__n
keMxragAmI: ajAwI/__adj
kEPiyawa: rAw/a__n
KErAwa: rAw/a__n
KErAwI: ajAwI/__adj
keSAkeSi: SAnwi/__n
kewalI: ladak/I__n
kExa: rAw/a__n
kicakicA: KA/__v
KidakI: ladak/I__n
KidZakI: ladak/I__n
KIJa: uT/a__v
KiJA: KA/__v
KilA: KA/__v
kIla: rAw/a__n
KIla: rAw/a__n
kilakAra: uT/a__v
kilakArI: ladak/I__n
KilaKilAhata: rAw/a__n
kilakilA: KA/__v
KilaKilA: KA/__v
KilavA: KA/__v
kIlI: ladak/I__n
killawa: rAw/a__n
kImawa: rAw/a__n
kImawI: ajAwI/__adj
kiMvaxaMwI: ladak/I__n
kinArI: ladak/I__n
kinnarI: ladak/I__n
kIpa: rAw/a__n
kiPAyawI: ajAwI/__adj
kiramica: rAw/a__n
kiraNa: rAw/a__n
kirItI: ajAwI/__adj
KisakA: KA/__v
Kisaka: uT/a__v
kiSamiSa: rAw/a__n
KisiA: KA/__v
KisiyAhata: rAw/a__n
KisiyA: KA/__v
kisma: rAw/a__n
kismawa: rAw/a__n
kiswa: rAw/a__n
kiSwa: rAw/a__n
kiSwI: ladak/I__n
kitakitA: KA/__v
kiwAba: rAw/a__n
kiwAbI: ajAwI/__adj
Kixamawa: rAw/a__n
KixamawI: ajAwI/__adj
KizcavA: KA/__v
kleSI: ajAwI/__adj
klipa: rAw/a__n
koca: uT/a__v
kodI: ladak/I__n
kOdI: ladak/I__n
kohanI: ladak/I__n
koI: k/oI__p
Ko: so/__v
koKa: rAw/a__n
koKajalI: ajAwI/__adj
koko: redio/__n
KOlA: KA/__v
KOla: uT/a__v
kolI: ladak/I__n
kOma: rAw/a__n
kOmI: ajAwI/__adj
koMpala: rAw/a__n
KoMsa: uT/a__v
kOMsila: rAw/a__n
kOMXa: uT/a__v
kOna: k/Ona__p
KopadI: ladak/I__n
kopala: rAw/a__n
kora: rAw/a__n
korI: ladak/I__n
kortaPIsa: rAw/a__n
kosa: uT/a__v
koSiSa: rAw/a__n
Kota: rAw/a__n
koTarI: ladak/I__n
koTArI: ladak/I__n
koTevAlI: ladak/I__n
koti: Apawwi/__n
kotI: ladak/I__n
koTI: ladak/I__n
kOwukI: ajAwI/__adj
koyala: rAw/a__n
Kozta: uT/a__v
kqpANI: ladak/I__n
kqRijIvI: ajAwI/__adj
kqwi: Apawwi/__n
kramasaMKyA: ASA/__n
kRAranaxI: ladak/I__n
kRawrANI: ladak/I__n
kRawriyANI: ladak/I__n
kRayakArI: ajAwI/__adj
krayavikrayI: ajAwI/__adj
krena: rAw/a__n
kRewramiwi: SAnwi/__n
kRoBakArI: ajAwI/__adj
kRuXAnivqwwi: SAnwi/__n
kuAz: ku/Az__n
KUbI: ladak/I__n
kucakrI: ajAwI/__adj
kucAla: rAw/a__n
kucala: uT/a__v
kucAlI: ajAwI/__adj
kUcI: ladak/I__n
kuDA: KA/__v
kuDa: uT/a__v
kuhaka: uT/a__v
kuhanI: ladak/I__n
kUja: uT/a__v
KujalAhata: rAw/a__n
KujalA: KA/__v
KuKadI: ladak/I__n
kUka: uT/a__v
kukarmI: ajAwI/__adj
kulabulA: KA/__v
kulakanyA: ASA/__n
kulakulA: KA/__v
KulavA: KA/__v
kulavaMwI: ajAwI/__adj
kulavaXU: bah/U__n
kulAzca: uT/a__v
kumArI: ladak/I__n
kuMdalI: ladak/I__n
kuMdI: ladak/I__n
kuMhalA: KA/__v
kumhlA: KA/__v
kuMjI: ladak/I__n
kuMwI: ladak/I__n
kurabAnI: ladak/I__n
Kuraca: uT/a__v
KurAka: rAw/a__n
kurakurA: KA/__v
KurAPAwa: rAw/a__n
KurAPAwI: ajAwI/__adj
kurawI: ladak/I__n
kurbAnI: ladak/I__n
kurexa: uT/a__v
kurIwi: Apawwi/__n
kursI: ladak/I__n
KuSaKabarI: ladak/I__n
kuSalI: ajAwI/__adj
KuSAmaxa: rAw/a__n
KuSAmaxI: ajAwI/__adj
KuSI: ladak/I__n
kusumAMjali: SAnwi/__n
KusuraPusura: rAw/a__n
kUta: uT/a__v
kutakI: ladak/I__n
kutanI: ladak/I__n
kutI: ladak/I__n
kUtI: ladak/I__n
kuttI: ladak/I__n
kuwarkI: ajAwI/__adj
kuwwI: ladak/I__n
kUxa: uT/a__v
kuxAla: rAw/a__n
kuxarawI: ajAwI/__adj
KuxavA: KA/__v
kuzArI: ladak/I__n
kuzari: SAnwi/__n
kUzcI: ladak/I__n
KUztI: ladak/I__n
kuzvari: Apawwi/__n
kuzvarI: ladak/I__n
kUzWa: uT/a__v
kyArI: ladak/I__n
lABakArI: ajAwI/__adj
labXi: Apawwi/__n
lacakA: KA/__v
ladAI: ladak/I__n
ladA: KA/__v
ladaKadA: KA/__v
ladakI: ladak/I__n
ladI: ladak/I__n
lagA: KA/__v
lagAma: rAw/a__n
lagana: rAw/a__n
laganapawrI: ladak/I__n
lagavA: KA/__v
lagAvata: rAw/a__n
lagnakuMdalI: ladak/I__n
lahakA: KA/__v
lahalahA: KA/__v
laharA: KA/__v
lahara: rAw/a__n
lA: KA/__v
lAina: rAw/a__n
lAiPabota: rAw/a__n
lAiseMsaXArI: ladak/I__n
lajA: KA/__v
lajavA: KA/__v
lAjavaMwI: ladak/I__n
lAjimI: ajAwI/__adj
lajjAkArI: ajAwI/__adj
lakadI: ladak/I__n
lAKapawI: ajAwI/__adj
lakIra: rAw/a__n
lakRabeXI: ajAwI/__adj
lakRaNI: ajAwI/__adj
lakRmI: ladak/I__n
lakRyasixXi: Apawwi/__n
lakutI: ladak/I__n
lakutiyA: gudiy/A__n
lalacA: KA/__v
lAlacI: ajAwI/__adj
lalaka: uT/a__v
lalakAra: uT/a__v
lAlatena: rAw/a__n
laliwakalA: ASA/__n
lAmabaMxI: ladak/I__n
laMbAI: ladak/I__n
laMbI: ladak/I__n
laMgUrI: ladak/I__n
laMpa: rAw/a__n
lapaka: uT/a__v
lapalapAhata: rAw/a__n
lapalapA: KA/__v
lapatA: KA/__v
lapeta: uT/a__v
lapetana: rAw/a__n
lArI: ladak/I__n
lASa: rAw/a__n
lasalasA: KA/__v
lata: rAw/a__n
lAta: rAw/a__n
latakA: KA/__v
latakavA: KA/__v
latapatA: KA/__v
lAtarI: ladak/I__n
lATI: ladak/I__n
lAvanI: ladak/I__n
lAvArisI: ajAwI/__adj
lawAda: uT/a__v
laWAda: uT/a__v
lawa: rAw/a__n
lAwa: rAw/a__n
lawiyA: KA/__v
lAxa: uT/a__v
laxavA: KA/__v
lAzGa: uT/a__v
lazgotI: ladak/I__n
leboretarI: ladak/I__n
le: l/e__v
leKAbahI: ladak/I__n
leKanasAmagrI: ajAwI/__adj
leKanI: ladak/I__n
leKapaxXawi: Apawwi/__n
leKapraNAlI: ladak/I__n
lepa: uT/a__v
lEsa: rAw/a__n
lIcI: ladak/I__n
lIga: rAw/a__n
liKA: KA/__v
liKavA: KA/__v
liKAvata: rAw/a__n
liMgaXArI: ajAwI/__adj
liMgaxeha: rAw/a__n
lInawa: rAw/a__n
lipA: KA/__v
lIpa: uT/a__v
lipatA: KA/__v
lipavA: KA/__v
lipi: Apawwi/__n
liPta: rAw/a__n
lista: rAw/a__n
litA: KA/__v
livA: KA/__v
loBavijayI: ajAwI/__adj
loDa: uT/a__v
lOhaxIvAra: rAw/a__n
loI: ladak/I__n
lO: lO/__n
lokagAWA: ASA/__n
lokagawi: Apawwi/__n
lokajananI: ladak/I__n
lokapaxXawi: Apawwi/__n
lokaSruwi: Apawwi/__n
lokavArwA: ASA/__n
lOkI: ladak/I__n
lokokwi: Apawwi/__n
lomadI: ladak/I__n
lOMdI: ladak/I__n
lOMga: rAw/a__n
lorI: ladak/I__n
lOtA: KA/__v
lota: uT/a__v
loWa: rAw/a__n
lOzga: rAw/a__n
luBA: KA/__v
luDakA: KA/__v
luDakanI: ladak/I__n
lugAI: ladak/I__n
luMgI: ladak/I__n
lunAI: ladak/I__n
lutA: KA/__v
lUta: uT/a__v
lUtamAra: rAw/a__n
macA: KA/__v
macaka: uT/a__v
macalA: KA/__v
macala: uT/a__v
maCalI: ladak/I__n
macamacA: KA/__v
macAmaca: rAw/a__n
macAna: rAw/a__n
macCaraxAnI: ladak/I__n
mAcisa: rAw/a__n
madaI: ladak/I__n
maDavA: KA/__v
madEyA: gudiy/A__n
magahI: ajAwI/__adj
mAGI: ajAwI/__adj
mahAcamU: bah/U__n
mahAjFAnI: ajAwI/__adj
mahAmArI: ladak/I__n
mahaMwI: ladak/I__n
mahAnaxI: ladak/I__n
mahaPila: rAw/a__n
