Non-Matching Entries:
baMbA: kAl/A__adj
baMca: xiK/a__v
BAMdAgAra: rAw/a__n
BAMdAgArika: Gar/a__n
BAMda: rAw/a__n
baMdA: kAl/A__adj
BaMdA: kAl/A__adj
BAMdakalA: gudiy/A__n
baMdala: rAw/a__n
BaMdAPoda: Gar/a__n
BAMdAra: Gar/a__n
BaMdAra: rAw/a__n
BaMdArA: kAl/A__adj
BAMgadA: kAl/A__adj
BaMgaGutanA: None
BaMga: rAw/a__n
baMga: Gar/a__n
baMgAla: rAw/a__n
baMgAlI: ladak/I__n
BaMgi: Apawwi/__n
BaMgI: ladak/I__n
BaMgura: wIn/a__adj
BaMjaka: wIn/a__adj
BaMjana: rAw/a__n
baMjara: wIn/a__adj
baMkara: rAw/a__n
baMtAXAra: anek/a__adj
bAmurAxa: anek/a__adj
baMxagI: Axam/I__n
baMxa: rAw/a__n
baMxA: W/A__v
baMXa: rAw/a__n
baMXaka: rAw/a__n
baMXana: rAw/a__n
baMxanavAra: rAw/a__n
baMXanIya: Gar/a__n
baMxaragAha: rAw/a__n
baMxaraGudakI: Axam/I__n
baMxara: rAw/a__n
baMxIKAnA: jyAx/A__adj
baMxiprawyakRIkaraNa: None
baMXiwa: anek/a__adj
baMxobaswa: Gar/a__n
baMXuBAva: Gar/a__n
baMXuhIna: anek/a__adj
baMXu: qwu/__n
baMXuvarga: Gar/a__n
baMXya: wIn/a__adj
baMXyA: kAl/A__n
BanaBanA: W/A__v
bAnabe: None
bANAByAsa: None
bANagaMgA: gudiy/A__n
bAnagI: ladak/I__n
bANagocara: None
banA: W/A__v
banxI: ladak/I__n
bAna: rAw/a__n
bANa: rAw/a__n
bAnA: kAl/A__adj
bana: xiK/a__v
BAnajA: kAl/A__adj
banajArA: kAl/A__adj
banAkara: rAw/a__n
BAnamawI: Axam/I__n
banArasa: Gar/a__n
bANasaMXAna: Gar/a__n
bANAsura: Karc/a__n
banavA: W/A__v
banAva: rAw/a__n
banAvanahAra: Karc/a__n
bANavarRaNa: Gar/a__n
banAvata: rAw/a__n
bANavixyA: gudiy/A__n
bANavqRti: Apawwi/__n
banElA: kAl/A__adj
baniA: kAl/A__adj
baNigvqwwi: None
banihAra: rAw/a__n
bANijya: Karc/a__n
baNik: ladak/A__n
BaNiwa: anek/a__adj
baniyA: jyAx/A__adj
BannA: W/A__v
BAnu: ku/Az__n
BAnuprawApa: Gar/a__n
BApa: rAw/a__n
bApaxAxA: kAl/A__adj
bapOwI: ladak/I__n
BaraBarAhata: Gar/a__n
barAbara: wIn/a__adj
BaraBarA: W/A__v
BarABarA: jyAx/A__adj
barAbarakA: kAl/A__adj
barAbarI: Axam/I__n
barabasa: Karc/a__n
barabAxa: Gar/a__n
barabAxI: ladak/I__n
BARAbaxXa: anek/a__adj
baraCA: kAl/A__adj
bAraha: rAw/a__n
barahA: kAl/A__adj
bArahaKadI: Axam/I__n
bArahamAsA: kAl/A__adj
bArahasiMgA: kAl/A__adj
barahavAz: None
BArahInawA: gudiy/A__n
BARA: kAl/A__n
bara: rAw/a__n
BAra: rAw/a__n
BarA: kAl/A__adj
bArA: kAl/A__adj
Bara: xiK/a__v
BARAjFAna: Gar/a__n
BArajIvI: None
barakarAra: Karc/a__n
baraKAswa: Gar/a__n
BArakeMxra: None
baraKilAPa: anek/a__adj
BArakRama: anek/a__adj
baraKuraxAra: anek/a__adj
BaramA: W/A__v
baramA: kAl/A__adj
BaramAra: rAw/a__n
barAmaxagI: ladak/I__n
barAmaxa: rAw/a__n
barAmaxA: kAl/A__adj
barAMdA: kAl/A__adj
BARAMwara: Gar/a__n
BaraNa: rAw/a__n
BARaNa: rAw/a__n
baranAlA: kAl/A__adj
BaraNapoRaNa: Gar/a__n
bArAnI: Axam/I__n
BaraNI: Axam/I__n
BaraNIya: wIn/a__adj
baraPa: rAw/a__n
BarapAI: Axam/I__n
baraPIlA: kAl/A__adj
BarapUra: wIn/a__adj
barAra: rAw/a__n
barasA: W/A__v
barasa: xiK/a__v
Barasaka: anek/a__adj
BARAsaMbaMXI: ajAwI/__adj
BARASAswra: Gar/a__n
BAravAhana: Gar/a__n
BaravA: W/A__v
BarAva: rAw/a__n
BArAvawaraNa: Karc/a__n
BArAvawAraNa: None
BarawAgraja: Gar/a__n
Barawa: rAw/a__n
BArawa: rAw/a__n
BarawA: kAl/A__n
barawa: xiK/a__v
BarawaKaMda: Karc/a__n
BArawamAwA: loh/A__n
barawana: rAw/a__n
BArawasaMwAna: Gar/a__n
BarawaSAswra: Karc/a__n
barawAva: rAw/a__n
BarawavarRa: Karc/a__n
BArawavarRa: Gar/a__n
BArawavarRIya: wIn/a__adj
BArawavAsI: ladak/I__n
BarawavINA: gudiy/A__n
BARAwawwva: Gar/a__n
barAwI: ladak/I__n
BArawIya: rAw/a__n
BArawIyakaraNa: Gar/a__n
BArawulA: gudiy/A__n
baraxA: W/A__v
baraxASwa: Karc/a__n
barbara: wIn/a__adj
bAre: None
BarEyA: jyAx/A__adj
Barga: Gar/a__n
baricCA: gudiy/A__n
BArIjala: Gar/a__n
bArIka: wIn/a__adj
BARika: wIn/a__adj
bArIkI: ladak/I__n
BArIpana: Karc/a__n
bAriSa: rAw/a__n
BARiwa: wIn/a__adj
BARIya: wIn/a__adj
Barjana: Gar/a__n
barKAswa: anek/a__adj
BarosA: kAl/A__n
bARpa: rAw/a__n
bARpAkula: None
barPI: ladak/I__n
barrA: W/A__v
BarrA: W/A__v
bArUxa: rAw/a__n
bArUxaKAnA: jyAx/A__adj
barwana: rAw/a__n
barwAva: rAw/a__n
BarwsanA: loh/A__n
Barwsiwa: anek/a__adj
barxASwa: Karc/a__n
BAryA: kAl/A__n
BARya: Gar/a__n
BAryAwva: Karc/a__n
basA: W/A__v
bAsa: rAw/a__n
basa: xiK/a__v
BAsa: xiK/a__v
basaMwa: Gar/a__n
basaMwA: kAl/A__adj
BasAna: Karc/a__n
basara: Gar/a__n
baSarwe: None
bAsaTa: anek/a__adj
baserA: kAl/A__n
bAsImuzha: None
basITI: Axam/I__n
BasmagAwra: Gar/a__n
Basma: rAw/a__n
Basmaka: rAw/a__n
BasmakUta: Karc/a__n
Basmapriya: None
BasmAvaSeRa: wIn/a__adj
BasmIBUwa: anek/a__adj
basu: ku/Az__n
BAsvara: anek/a__adj
baswA: kAl/A__adj
baswi: Apawwi/__n
batA: W/A__v
Bata: rAw/a__n
bAta: rAw/a__n
BAta: rAw/a__n
bata: xiK/a__v
BatakA: W/A__v
Bataka: xiK/a__v
batAliyana: rAw/a__n
batamArI: ladak/I__n
batana: rAw/a__n
batavArA: kAl/A__adj
batera: rAw/a__n
BAtiyA: kAl/A__adj
batorana: rAw/a__n
Batta: rAw/a__n
battA: kAl/A__adj
BatTA: kAl/A__adj
battAKAwA: jyAx/A__adj
BattAra: Gar/a__n
BattAraka: wIn/a__adj
BattArikA: loh/A__n
batuA: kAl/A__adj
BavaBaMga: Karc/a__n
BAvaBaMgI: ladak/I__n
BavaBaMjana: Gar/a__n
BavabaMXana: Gar/a__n
BavaBoga: Gar/a__n
BAvaboXaka: wIn/a__adj
Bavacakra: Gar/a__n
BavacApa: Gar/a__n
BAvagamya: anek/a__adj
BAvahIna: anek/a__adj
Bava: rAw/a__n
BAva: rAw/a__n
BAvaja: rAw/a__n
bAvalA: kAl/A__adj
BavAMbuXi: SAnwi/__n
Bavamocana: Gar/a__n
bAvana: wIn/a__adj
BAvanA: kAl/A__n
Bavana: rAw/a__n
BAvanAmaya: anek/a__adj
BavAnI: ladak/I__n
BavanniRTa: anek/a__adj
BAvAnuga: wIn/a__adj
BAvaparigraha: Gar/a__n
BAvapraXAna: wIn/a__adj
bAvaracIKAnA: jyAx/A__adj
BAvArWa: Gar/a__n
BAvasamAhiwa: None
BAvasamanviwa: anek/a__adj
BAvasaMXi: Apawwi/__n
bavAsIra: Gar/a__n
BAvasnigXa: anek/a__adj
BAvASriwa: Gar/a__n
BavaSUla: Gar/a__n
BAvaSUnya: anek/a__adj
BAvasWa: anek/a__adj
BAvavAcaka: wIn/a__adj
BAvavAcya: Karc/a__n
BavavilAsa: Gar/a__n
BAvinI: Axam/I__n
BaviRya: Gar/a__n
BaviRyajFAna: Gar/a__n
BaviRyakAla: Gar/a__n
BaviRyawkAla: Karc/a__n
BAviwa: wIn/a__adj
Baviwavya: wIn/a__adj
BaviwavyawA: loh/A__n
BAvonmawwa: anek/a__adj
BAvonmeRa: Gar/a__n
BAvoxaya: Gar/a__n
BAvoxxIpaka: anek/a__adj
BAvukawA: gudiy/A__n
Bavya: wIn/a__adj
BavyawA: loh/A__n
bAwacIwa: rAw/a__n
bawA: W/A__v
BAwa: rAw/a__n
bawalA: W/A__v
bawAsA: kAl/A__adj
BawavAna: Gar/a__n
BawIjA: kAl/A__adj
bawiyA: jyAx/A__adj
baWuA: kAl/A__adj
bAwula: anek/a__adj
BawwA: kAl/A__adj
bawwIsa: rAw/a__n
bawwIsI: ladak/I__n
baxabU: bah/U__n
baxacalana: wIn/a__adj
baxacalanI: Axam/I__n
baxahajamI: Axam/I__n
bAXA: kAl/A__n
bAXa: rAw/a__n
baxa: xiK/a__v
baxaiMwajAma: wIn/a__adj
baxajabAna: anek/a__adj
baxajAwa: wIn/a__adj
bAXaka: wIn/a__adj
baxakismawa: wIn/a__adj
baxakismawI: ladak/I__n
bAxala: rAw/a__n
baxalA: kAl/A__adj
baxala: xiK/a__v
baxalAI: Axam/I__n
baxalavA: W/A__v
baxalAva: rAw/a__n
baxalI: ladak/I__n
bAxAma: rAw/a__n
baxamASa: rAw/a__n
baxamASI: ladak/I__n
baxamijAja: anek/a__adj
baxamijAjI: Axam/I__n
bAXanA: kAl/A__n
baxanAma: wIn/a__adj
baxanAmI: ladak/I__n
baxanasIba: wIn/a__adj
baxanIyawa: wIn/a__adj
baxanIyawI: Axam/I__n
baxaparaheja: anek/a__adj
bAxarAyaNa: Gar/a__n
baxarInAWa: Gar/a__n
bAxaSAha: rAw/a__n
baxasUrawa: wIn/a__adj
baxawamIja: wIn/a__adj
baxawamIjI: ladak/I__n
baxaximAgI: Axam/I__n
bAXiwa: wIn/a__adj
baXiyA: kAl/A__adj
Baxra: wIn/a__adj
BAxra: Gar/a__n
BaxrA: kAl/A__n
BaxrakAlI: Axam/I__n
BaxrakAraka: anek/a__adj
BaxrakASI: Axam/I__n
BaxrakAya: None
BaxrakuMBa: Gar/a__n
BaxraMkara: Gar/a__n
BAxrapaxa: Gar/a__n
BaxrI: ajAwI/__adj
baxXa: wIn/a__adj
BaxxA: kAl/A__adj
baxXaniScaya: anek/a__adj
BaxxApana: Gar/a__n
baxXaprawijFa: anek/a__adj
bAXya: wIn/a__adj
bAXyawA: ladak/A__n
bayAbAna: Gar/a__n
BayaBIwa: Gar/a__n
Baya: rAw/a__n
bayA: kAl/A__adj
bAyakAta: Gar/a__n
BayAkrAMwa: anek/a__adj
BayAkula: anek/a__adj
bayAlIsa: wIn/a__adj
BayaMkara: wIn/a__adj
bayAna: rAw/a__n
bayAnA: kAl/A__adj
BayAnaka: Gar/a__n
BayAnviwa: anek/a__adj
BayaSUnya: wIn/a__adj
BayasWAna: Gar/a__n
BayAvanA: kAl/A__adj
Bayawraswa: wIn/a__adj
BayawrAwA: gudiy/A__n
BayAwura: wIn/a__adj
BayAxohana: Gar/a__n
bAyazhawWA: None
bAyAz: None
BAzda: rAw/a__n
bAzdA: kAl/A__adj
BazduA: jyAx/A__adj
bAzga: rAw/a__n
BAzga: rAw/a__n
bazgalA: kAl/A__n
bAzJa: wIn/a__adj
BazjA: W/A__v
BAzjA: kAl/A__adj
bAzkA: kAl/A__adj
bAzkapana: Karc/a__n
bAzsa: rAw/a__n
bazsavAdI: Axam/I__n
baztA: W/A__v
bAztA: kAl/A__adj
bazta: xiK/a__v
baztAI: Axam/I__n
baztavA: W/A__v
baztavArA: kAl/A__adj
BazvarA: kAl/A__adj
BazvarajAla: Gar/a__n
BazvaraXArA: gudiy/A__n
bazXA: W/A__v
bazXa: xiK/a__v
bazXavA: W/A__v
bazXavAna: Karc/a__n
bazXuA: kAl/A__adj
beAbarU: Al/U__n
beakala: anek/a__adj
beaxaba: wIn/a__adj
bebasa: wIn/a__adj
bebasI: ladak/I__n
bebuniyAxa: anek/a__adj
becArA: kAl/A__adj
becavA: W/A__v
becEna: wIn/a__adj
becEnI: ladak/I__n
beDaba: anek/a__adj
bedA: kAl/A__adj
beDaMgA: kAl/A__adj
BediyA: kAl/A__adj
bedOla: anek/a__adj
bEga: rAw/a__n
bEgana: rAw/a__n
begAra: rAw/a__n
begArI: ladak/I__n
begunAhI: Axam/I__n
behAla: wIn/a__adj
behawara: wIn/a__adj
behaxa: wIn/a__adj
behayA: kAl/A__adj
behoSa: wIn/a__adj
behoSI: ladak/I__n
behUxA: kAl/A__adj
be: None
bE: None
beijajawI: Axam/I__n
beijjawa: Gar/a__n
beimAnI: ladak/I__n
beImanI: Axam/I__n
beiMsAPa: anek/a__adj
beiMsAPI: ladak/I__n
bEja: rAw/a__n
BejA: kAl/A__adj
Beja: xiK/a__v
bejAna: wIn/a__adj
BejanevAlA: kAl/A__adj
bejAra: wIn/a__adj
bejArI: Axam/I__n
bejoda: anek/a__adj
beKabara: wIn/a__adj
Beka: Gar/a__n
bekarAra: wIn/a__adj
bekarI: ladak/I__n
bekArI: Axam/I__n
bekaxara: wIn/a__adj
bekAyaxA: kAl/A__adj
BEkRa: Karc/a__n
BEkRAnna: None
bEktIriyA: jyAx/A__adj
bEkuMTa: rAw/a__n
bekusUra: wIn/a__adj
belacA: kAl/A__adj
belagAma: anek/a__adj
bEla: rAw/a__n
belA: kAl/A__n
bela: xiK/a__v
belanAkAra: wIn/a__adj
belapawwI: Axam/I__n
BelapUdI: None
belavA: W/A__v
belaxAra: Gar/a__n
bElUna: rAw/a__n
beMca: rAw/a__n
bEMda: rAw/a__n
bEMdamAstara: Gar/a__n
bemela: anek/a__adj
bEMka: rAw/a__n
bEMkara: rAw/a__n
BeMta: rAw/a__n
beMwa: rAw/a__n
benAma: wIn/a__adj
bEnAmA: kAl/A__adj
beparavAha: wIn/a__adj
beparavAhI: ladak/I__n
beparaxA: jyAx/A__adj
bePikra: wIn/a__adj
berahama: wIn/a__adj
berahamI: ladak/I__n
bEra: rAw/a__n
bera: rAw/a__n
BeRa: rAw/a__n
bErA: kAl/A__adj
BeRaja: rAw/a__n
BeRajya: anek/a__adj
BERajya: Gar/a__n
BErava: wIn/a__adj
BEravIya: anek/a__adj
bErI: ladak/I__n
berojagAra: rAw/a__n
berojagArI: ladak/I__n
beruKI: Axam/I__n
besabra: wIn/a__adj
besabrI: Axam/I__n
besahArA: kAl/A__adj
beSa: wIn/a__adj
besa: rAw/a__n
Besa: rAw/a__n
bEsAKa: rAw/a__n
beSakImawa: wIn/a__adj
besana: Gar/a__n
besara: Gar/a__n
beSarama: wIn/a__adj
besika: anek/a__adj
besura: wIn/a__adj
besuXa: wIn/a__adj
betAbetI: Axam/I__n
bETA: W/A__v
Beta: rAw/a__n
betA: kAl/A__adj
bETa: xiK/a__v
bETaka: rAw/a__n
bETavA: W/A__v
betevAlA: kAl/A__adj
betikata: wIn/a__adj
betIvAlA: kAl/A__adj
bevakawa: anek/a__adj
bevakUPa: wIn/a__adj
bevaPA: jyAx/A__adj
bewAba: wIn/a__adj
bewAra: Gar/a__n
Bewavya: anek/a__adj
bewukA: kAl/A__adj
BewwA: kAl/A__adj
BexabuxXi: Apawwi/__n
beXadaka: anek/a__adj
bexAga: wIn/a__adj
Bexa: rAw/a__n
BexajFAna: Gar/a__n
Bexaka: wIn/a__adj
bexaKala: wIn/a__adj
Bexana: rAw/a__n
BexanIwi: SAnwi/__n
Bexaprawyaya: Gar/a__n
bexarxI: Axam/I__n
BexavAxa: Gar/a__n
BexaviXi: SAnwi/__n
BexaxqRti: None
Bexiwa: anek/a__adj
BexiyA: jyAx/A__adj
Bexya: wIn/a__adj
BEyA: kAl/A__adj
BEyAxUja: Gar/a__n
bIBawsa: wIn/a__adj
bIBawsiwa: anek/a__adj
biBIRikA: ASA/__n
biCA: W/A__v
biCa: xiK/a__v
bicakA: W/A__v
bicalA: W/A__v
bicala: xiK/a__v
biCala: xiK/a__v
biCalana: Karc/a__n
bicAra: rAw/a__n
biCavA: W/A__v
bicCU: bah/U__n
biCiyA: kAl/A__n
bicOliyA: jyAx/A__adj
biCOnA: kAl/A__adj
biCudana: Karc/a__n
BIdaBAda: Gar/a__n
BIda: wIn/a__adj
Bida: xiK/a__v
BidaMwa: Gar/a__n
bIdZA: kAl/A__adj
bigadEla: wIn/a__adj
BigA: W/A__v
BIgA: kAl/A__adj
bIGA: kAl/A__adj
bigula: rAw/a__n
bIhadZa: rAw/a__n
bihAna: Gar/a__n
bihAra: rAw/a__n
bIja: rAw/a__n
bIjaka: rAw/a__n
bIjAkRara: Gar/a__n
bijalIGara: rAw/a__n
bIjAMkura: Gar/a__n
BijavA: W/A__v
BIKa: rAw/a__n
bika: xiK/a__v
BiKamaMgA: kAl/A__adj
biKarAva: rAw/a__n
BiKArI: ladak/I__n
bikAU: Al/U__n
bikavA: W/A__v
BikRABAjana: Gar/a__n
BikRAcAra: Gar/a__n
BikRA: kAl/A__n
BikRAkaraNa: None
BikRAnna: Gar/a__n
BikRApAwra: Gar/a__n
BikRAriNI: None
BikRAtana: Karc/a__n
BikRAvqwwi: Apawwi/__n
bikrI: ladak/I__n
bikrIkara: Gar/a__n
BikRu: qwu/__n
BikRusaMGa: Gar/a__n
bilabilA: W/A__v
bilaga: wIn/a__adj
bilagA: W/A__v
bilagAva: rAw/a__n
bila: rAw/a__n
BIla: rAw/a__n
bilaKa: xiK/a__v
bilanI: Axam/I__n
bilatI: Axam/I__n
Billa: rAw/a__n
billA: kAl/A__adj
bilo: h/o__v
BIma: wIn/a__adj
BImA: kAl/A__n
bImA: kAl/A__n
BImakarmA: jyAx/A__adj
BImanAxa: anek/a__adj
BImaparAkrama: anek/a__adj
bImApawraka: None
bImAra: rAw/a__n
biMba: Gar/a__n
biMbiwa: anek/a__adj
biMboRTa: anek/a__adj
biMxureKA: gudiy/A__n
BinaBinAhata: Gar/a__n
BinaBina: Karc/a__n
BinaBinA: W/A__v
bIna: xiK/a__v
bina: xiK/a__v
binAI: Axam/I__n
BinasAra: Karc/a__n
binavA: W/A__v
Binna: wIn/a__adj
Binnakrama: anek/a__adj
BinnamawAvalaMbI: None
Binnaruci: SAnwi/__n
BinnArWa: wIn/a__adj
BinnavarNa: anek/a__adj
BinnawA: kAl/A__n
Binnawva: Karc/a__n
BinnaxeSIya: anek/a__adj
Binnoxara: Gar/a__n
binOlA: kAl/A__adj
bipawA: kAl/A__n
bipaxA: loh/A__n
birahA: kAl/A__adj
bIra: rAw/a__n
biralA: kAl/A__adj
BIRaNa: wIn/a__adj
bIrAnA: kAl/A__adj
BIRaNAkAra: anek/a__adj
birAxara: Gar/a__n
birAxarI: ladak/I__n
BIRma: wIn/a__adj
BIru: None
BIruwA: ASA/__n
bIsa: rAw/a__n
bisAwaKAnA: jyAx/A__adj
bisAwI: ladak/I__n
biskuta: rAw/a__n
biswara: rAw/a__n
biswarA: kAl/A__adj
biTA: W/A__v
bitapa: Gar/a__n
BIwa: wIn/a__adj
biwA: W/A__v
biwwA: kAl/A__adj
BiwwicOra: Gar/a__n
bixA: kAl/A__n
bixakA: W/A__v
bixesiyA: jyAx/A__adj
Bixya: anek/a__adj
blAka: rAw/a__n
blAuja: rAw/a__n
blAujapIsa: Gar/a__n
bleda: rAw/a__n
boA: W/A__v
boAI: Axam/I__n
bOCAda: Gar/a__n
BOcaka: anek/a__adj
BOcakkA: kAl/A__adj
bOdZama: rAw/a__n
BogaBUmi: Apawwi/__n
Bogagqha: None
BogA: W/A__v
Boga: xiK/a__v
BogakAla: Gar/a__n
BogalipsA: gudiy/A__n
BogAMwa: Gar/a__n
BOgarBika: anek/a__adj
BogArha: anek/a__adj
bogasa: anek/a__adj
BogavAn: None
BogavAxa: Gar/a__n
BogavilAsa: Gar/a__n
Bogaxeha: Gar/a__n
BogAXikAra: Gar/a__n
BOgolika: wIn/a__adj
Bogya: wIn/a__adj
BogyA: kAl/A__n
bohanI: Axam/I__n
bohiwa: Gar/a__n
bo: h/o__v
boJa: rAw/a__n
Boja: rAw/a__n
boJA: kAl/A__n
boJAI: Axam/I__n
Bojaka: Gar/a__n
BojanaBatta: Gar/a__n
BojanAcCAxana: Karc/a__n
Bojana: rAw/a__n
BojanakAla: Karc/a__n
BojanAlaya: rAw/a__n
BojanavelA: gudiy/A__n
BojanIya: anek/a__adj
Bojanowwara: anek/a__adj
Bojapura: Gar/a__n
BojapuriyA: jyAx/A__adj
BojayiwA: jyAx/A__adj
boJila: anek/a__adj
Bojya: wIn/a__adj
BojyakAla: Karc/a__n
BojyAnna: wIn/a__adj
bOKalAhata: rAw/a__n
bOKalA: W/A__v
BokwA: kAl/A__n
Bokwavya: anek/a__adj
Bokwqwva: Karc/a__n
BolABAlA: kAl/A__adj
bolabAlA: kAl/A__adj
bolacAla: Gar/a__n
BolA: kAl/A__adj
bola: xiK/a__v
BolAnAWa: Gar/a__n
BolApana: Gar/a__n
bolavA: W/A__v
BolI: ajAwI/__adj
BOma: wIn/a__adj
BoMdA: kAl/A__adj
BOmika: wIn/a__adj
BOMrA: kAl/A__adj
BoMxU: None
bOnA: kAl/A__adj
bOnI: ajAwI/__adj
bora: rAw/a__n
bOrA: W/A__v
bOra: rAw/a__n
Bora: rAw/a__n
borA: kAl/A__adj
borda: rAw/a__n
boriyA: kAl/A__n
BOsAgara: Gar/a__n
BoWarA: W/A__v
BOwika: wIn/a__adj
BOwikavijFAna: Gar/a__n
BOwikI: Axam/I__n
boXagamya: anek/a__adj
boXa: rAw/a__n
bOXa: rAw/a__n
boxA: kAl/A__adj
boXaka: wIn/a__adj
boXakara: anek/a__adj
boXana: Gar/a__n
boXanI: Axam/I__n
boXanIya: anek/a__adj
boxApana: Gar/a__n
boXAyana: Gar/a__n
boXi: Apawwi/__n
boXimaMdala: None
boXisawwva: Gar/a__n
boXivqkRa: Gar/a__n
boXiwaru: vAyu/__n
boXiwavya: None
boXiwva: anek/a__adj
boXoxaya: Karc/a__n
bOxXa: wIn/a__adj
boxXA: jyAx/A__adj
boxXavya: anek/a__adj
bOxXaXarma: Gar/a__n
bOxXika: wIn/a__adj
boXya: wIn/a__adj
BozpU: None
bqhaspawi: Apawwi/__n
bqhaw: rAw/a__n
bqhawI: Axam/I__n
bqhawkAya: anek/a__adj
bqhawmaMjarI: None
bqhawPala: Gar/a__n
bqhawpuRpa: None
bqhaxaMga: anek/a__adj
bqhaxBuja: anek/a__adj
bqhax: None
bqhaxraWa: Gar/a__n
bqhaxxala: Gar/a__n
BqMga: rAw/a__n
BqMgarAja: Gar/a__n
bqMhaNa: anek/a__adj
BqSa: anek/a__adj
Bqwa: wIn/a__adj
Bqwaka: wIn/a__adj
BqwyA: kAl/A__n
BqwyamaraNa: Gar/a__n
BqwyaSAlI: None
Bqwyavarga: Gar/a__n
brahmaBAga: Karc/a__n
brahmabaMXu: qwu/__n
brahmaBoja: Gar/a__n
brahmaBUwa: anek/a__adj
brahmAByAsa: Karc/a__n
brahmacArI: ladak/I__n
brahmacarya: Gar/a__n
brahmaGAwaka: anek/a__adj
brahmaGAwinI: Axam/I__n
brahmagAzTa: Gar/a__n
brahmaGoRa: Gar/a__n
brahmagraMWi: SAnwi/__n
brAhma: wIn/a__adj
brahma: rAw/a__n
brahmA: kAl/A__n
brahmajanma: Gar/a__n
brahmajFAna: Gar/a__n
brahmajijFAsA: gudiy/A__n
brahmakalpa: Gar/a__n
brahmakAMda: Gar/a__n
brahmakanyA: gudiy/A__n
brahmakanyakA: None
brahmakarma: Gar/a__n
brahmakoSa: Gar/a__n
brahmakuMda: Gar/a__n
brahmaleKa: Gar/a__n
brahmaloka: Gar/a__n
brahmAMda: rAw/a__n
brahmAMdakiraNa: None
brahmAMdavijFAna: Gar/a__n
brahmamuhUrwa: Karc/a__n
brAhmamuhUrwa: Karc/a__n
brAhmaNaBojana: Karc/a__n
brAhmaNahiwa: anek/a__adj
brAhmaNa: rAw/a__n
brahmAnaMxa: Karc/a__n
brAhmaNapriya: Karc/a__n
brAhmaNavaXa: Karc/a__n
brAhmaNawva: Karc/a__n
brahmANI: ladak/I__n
brahmaniRTa: wIn/a__adj
brahmanirvANa: Gar/a__n
brahmANya: anek/a__adj
brAhmaNya: Gar/a__n
brahmapArAyaNa: Gar/a__n
brahmapaxa: Karc/a__n
brahmapuwrI: Axam/I__n
brahmaraMXra: Gar/a__n
brahmAraNya: Gar/a__n
brahmarASi: SAnwi/__n
brahmarAwra: Karc/a__n
brahmarIwi: SAnwi/__n
brahmArpaNa: Gar/a__n
brahmarRi: Apawwi/__n
brahmasamAja: Gar/a__n
brahmAsana: Karc/a__n
brahmasuwA: gudiy/A__n
brahmAswra: Gar/a__n
brahmavakwA: jyAx/A__adj
brahmavarcasa: Karc/a__n
brahmAvarwa: Karc/a__n
brahmavaXa: Gar/a__n
brahmavEvarwa: Karc/a__n
brahmavewwA: jyAx/A__adj
brAhmavivAha: Gar/a__n
brahmavivarXana: Gar/a__n
brahmavixyA: ladak/A__n
brahmawawwva: Gar/a__n
brahmaweja: Gar/a__n
brahmawIrWa: Gar/a__n
brahmawva: Karc/a__n
brahmaxaMda: Gar/a__n
brahmayAga: Karc/a__n
brahmayoni: None
brahmIBUwa: anek/a__adj
brAhmI: Axam/I__n
BrAjaka: Gar/a__n
Brama: rAw/a__n
BramajAla: Gar/a__n
BrAmaka: wIn/a__adj
BramaNa: Gar/a__n
BramaNIya: anek/a__adj
Bramara: rAw/a__n
brAMdI: Axam/I__n
Bramiwa: wIn/a__adj
BraMsa: Karc/a__n
BraMSana: Karc/a__n
BraMSiwa: anek/a__adj
BraMSoxXAra: Gar/a__n
BrAMwa: wIn/a__adj
BrAMwihara: None
BrAMwimAna: anek/a__adj
BrAMwinASana: None
brAMxI: Axam/I__n
BraRtAcAra: rAw/a__n
BraRta: wIn/a__adj
BraRtA: kAl/A__n
BraRtakriya: None
BraRtamArga: anek/a__adj
BraRtanixra: None
BrAwA: kAl/A__n
BrAwAjAyA: None
BrAwAvaXU: None
BrAwAxviwIyA: None
BrAwqwva: Gar/a__n
BrAwrIya: anek/a__adj
BrAwuRpuwra: Gar/a__n
BrAwuRpuwrI: Axam/I__n
breka: rAw/a__n
brekavAna: Gar/a__n
brigeda: rAw/a__n
brigediyara: Gar/a__n
brija: rAw/a__n
britiSa: wIn/a__adj
britiSarAja: Gar/a__n
briwAnI: Axam/I__n
buA: kAl/A__n
buAI: Axam/I__n
BUBAga: rAw/a__n
buBukRA: loh/A__n
buBukRiwa: wIn/a__adj
buBuwsA: gudiy/A__n
buBuwsu: qwu/__n
bUcadaKAnA: kAl/A__adj
BUcAla: rAw/a__n
buDA: W/A__v
bUdA: kAl/A__adj
buDApA: kAl/A__n
budDA: kAl/A__adj
bUdI: ajAwI/__adj
budiyA: kAl/A__n
buDiyA: kAl/A__n
buDOwI: Axam/I__n
bUDZA: kAl/A__adj
BUgarBa: Gar/a__n
BugawA: W/A__v
Bugawa: xiK/a__v
BugawAna: rAw/a__n
BUgola: rAw/a__n
buhArI: ladak/I__n
bU: bah/U__n
BU: bah/U__n
Bujabala: rAw/a__n
BujabaMXana: Gar/a__n
BujageMxra: Gar/a__n
BujAgra: Gar/a__n
BujA: kAl/A__n
buJA: W/A__v
Buja: rAw/a__n
buJa: xiK/a__v
buJAI: Axam/I__n
BujaMgaGAwinI: None
BujaMgajihvA: None
BujaMgI: Axam/I__n
BujaMginI: Axam/I__n
BujapASa: Gar/a__n
